???"TABLE_NAME","TABLE_COMMENT"
"C_GSP_NBR_VLDG",""
"C_GUI_SESSION",""
"C_ORDERS",""
"C_ORDERS_ASN_CANCEL",""
"C_ORDER_ATTRIBUTE",""
"C_ORDER_LINE_ITEM",""
"C_ORDER_NOTE",""
"C_OSR_REQUEST",""
"C_OSR_STORAGE",""
"C_QI_INSPECTION",""
"C_QI_INSPECTION_BAK0707",""
"C_RFDTPD_ALL",""
"C_RFDTPD_ALL_BAK",""
"C_RFPD_ALL",""
"C_RFPD_ALL_BAK",""
"C_SPL_LEAN_REPL_TASK",""
"C_TMP_PICKING_INVN",""
"C_WEBSERVICE_MSG",""
"C_WEBSERVICE_MSG_ERROR",""
"DAILY_UTILIZATION","* Daily Utilization"
"DATASOURCE","Internal reference table"
"DATASOURCE_SOA","Internal reference table"
"DATASOURCE_SQL","Internal reference table"
"DATASOURCE_SQL_CONNECTION","Internal reference table"
"DATASOURCE_STOREDPROCEDURE","Internal reference table"
"DATASOURCE_TEXT","Internal reference table"
"DATA_LOADER_LISTENER",""
"DATA_LOADER_MESSAGE_TYPE","Stores Data Loader message types"
"DATA_LOADER_UPLOAD_LOG",""
"DATA_SOURCE","* Data Source"
"DATA_TYPE",""
"DATE_TYPE",""
"DAY_OF_WEEK_CBO",""
"DAY_OF_WEEK_OCCURANCE_CBO",""
"DB_BUILD_HISTORY",""
"DB_CR_HISTORY","Table is used to store all the addressed 2014 DB tickets from WIP files"
"DB_LISTENER",""
"DD_TRAN_LOG_ID_GTT",""
"DEBUG_SETUP","* Debug Setup"
"DEBUG_SQL","* Debug Sql"
"DELIVERY_AREA_SURCHARGE_TYPE",""
"DELIVERY_CHANNEL",""
"DELIVERY_METHOD",""
"DELIVERY_REQ",""
"DEP_ACCESSORIAL_CODE_MAP","* Dep Accessorial Code Map"
"DESTINATION","Not Used."
"DESTINATION_SYSTEM",""
"DHL_POSTAL_CODE","* Dhl Postal Code"
"DHL_SERVICE_LEVEL","* Dhl Service Level"
"DHL_TRANSIT_TIME","* Dhl Transit Time"
"DIRECTION",""
"DISPATCH_STATUS",""
"DISPOSITION_TYPE","Disposition types are used to control behavior of WM during pre-receipt allocation processing and LPN disposition processing of LPNs, A disposition type controls allocation type, disposition determination method, labels, MHE message generation options"
"DISTRIBUTION_LIST",""
"DISTRIB_LIST_MEMBER",""
"DISTRIB_LIST_MEMBER_DL",""
"DIVRT_HIST","Material Handling Equipment (MHE) table that holds  historical information of diverts."
"DOCK_DOOR_AVAIL_DATE","Not Used."
"DOCK_DOOR_AVAIL_DAY","Not Used."
"DOCK_DOOR_AVAIL_SCHED","Not Used."
"DOCK_DOOR_MASTER","Not Used."
"DOCK_DOOR_REF","Table created for WM-YM Decoupling - 2013 enhancement MACR0074-7678/8091 Remove Appt requirement"
"DOCK_RATE_TYPE",""
"DOCUMENT",""
"DOCUMENT_DESCRIPTOR",""
"DOCUMENT_EVENT_TYPE",""
"DOCUMENT_FORMAT_TYPE",""
"DOCUMENT_GENERATOR_TYPE",""
"DOCUMENT_MANAGEMENT",""
"DOCUMENT_STATUS",""
"DOCUMENT_TYPE",""
"DOC_DELIVERY",""
"DOC_DELIVERY_DTL",""
"DOC_STATUS",""
"DOC_TYPE",""
"DO_LINE_CLASSIFICATION_CODE","Stores Classification Code for DISTRIBUTION ORDER"
"DO_LINE_CLS_CODE_TEMPLATE","Stores Classification Code for DISTRIBUTION ORDER TEMPLATE Table"
"DO_LINE_WMPROCESSINFO",""
"DO_STATUS",""
"DO_TYPE",""
"DO_WMPROCESSINFO",""
"DRIVER",""
"DRIVER_CALENDAR_MAP",""
"DRIVER_DOMICILE",""
"DRIVER_PREFERENCE",""
"DRIVER_SCHED_EXCEPTION",""
"DRIVER_SCHED_EXC_TYPE",""
"DRIVER_SHIPMENT","An additional table that is used by PoD when it receives an XML message assigning a driver to a shipment"
"DRIVER_TRAVEL_INFO",""
"DROPOFF_PICKUP",""
"DSP_DISPATCH_TYPE",""
"DSP_DR",""
"DSP_DR_CONFIGURATION",""
"DSP_DR_PARAMETER",""
"DSP_DR_PARAMETER_SET",""
"DSP_DR_SET",""
"DSP_DR_TYPE",""
"DT_CACHE2","* Dt Cache2"
"DT_CALCULATOR",""
"DT_OVERRIDE","Distance Time Overrides"
"DT_OVERRIDE_DETAIL","Details of  Distance Time Overrides"
"DT_OVERRIDE_STATE_TAX","* Dt Override State Tax"
"DT_OVERRIDE_WINDOW","Window information of Distance Time Overrides"
"DT_PARM_LIST",""
"DT_PARM_LIST_DTL",""
"DWM_ACTOR_SYSTEM",""
"DWM_WORK_EVENT_LOG",""
"DWM_WORK_REQUEST",""
"DWM_WORK_REQUEST_ERROR",""
"DWM_WORK_TYPE_ACTOR_SYS_MAP",""
"DWM_WORK_TYPE_CONFIG",""
"DYNAMICCONTROL",""
"DYNAMIC_CONTROL_FIELDS",""
"DYNAMIC_CONTROL_INFO",""
"DYNAMIC_ROUTE","Route configuration. This table is used to store dynamic routes."
"DYNAMIC_ROUTE_DETAIL","Route configuration. This table is used to store dynamic routes."
"EC_CONSUMER","EC_CONSUMER"
"EC_CONSUMER_MSG_TYPE","EC_CONSUMER_MSG_TYPE"
"EC_MESSAGE","EC_MESSAGE"
"EC_MESSAGE_CONSUMER","EC_MESSAGE_CONSUMER"
"EDI_XREF","Table for configuring EDI Xref"
"EMPLOYEE",""
"EMP_OVLP_TRACKING_REPORT_TABLE","defines the columns for the event overlap tracking report"
"EMP_TRACKING_REPORT_TABLE","The Employee tracking report is using this table."
"EMP_TRACKING_REPORT_TABLE_COG","The Employee tracking report is using this table."
"ENGINE_INPUT_PARM","Stores engine input parameters"
"ENGINE_LOG_PARM","Stores engine log"
"ENGINE_OUTPUT_PARM","Stores engine output configuration "
"ENTERPRISE","Not Used."
"ENTERPRISE_MASTER","Enterprise level flags and configurations."
"EPI_END_OF_DAY","new table for End of Day process aka close manifest"
"EPI_END_OF_DAY_SERVICE_LEVEL","Table to store the service levels for which EPI EOD is performed"
"EPI_TRANSACTION_LOG","TABLE TO STORE EPI TRANSACTION LOG."
"EQUIPMENT_CUS_REF_FIELDS","Not used by WM"
"EQUIPMENT_NOTE",""
"EQUIPMENT_OVERFLOW",""
"EQUIP_CURR_DOMICILE",""
"EQUIP_INSTANCE_CURR_DOMICILE",""
"EQUIP_INST_SCHED_PLANNED",""
"EQUIP_INST_SCHED_TYPE",""
"ERP_PIX_CROSSREF",""
"ERR$_GEN605_LPN_CATCH_WT_GTT","DML Error Logging table for ""GEN605_LPN_CATCH_WT_GTT"""
"ERR$_GEN605_LPN_LOCK_GTT","DML Error Logging table for ""GEN605_LPN_LOCK_GTT"""
"ERR$_GEN605_PIX_TRAN_GTT","DML Error Logging table for ""GEN605_PIX_TRAN_GTT"""
"ERR$_GEN605_PKT_DTL_GTT","DML Error Logging table for ""GEN605_PKT_DTL_GTT"""
"ERR$_GEN605_SKU_ATTR_GTT","DML Error Logging table for ""GEN605_SKU_ATTR_GTT"""
"ERR$_GEN605_SKU_GTT","DML Error Logging table for ""GEN605_SKU_GTT"""
"ERR$_GEN605_SRL_NBR_TRACK_GTT","DML Error Logging table for ""GEN605_SRL_NBR_TRACK_GTT"""
"ERR$_GEN605_WM_INVENTORY_GTT","DML Error Logging table for ""GEN605_WM_INVENTORY_GTT"""
"ERR$_ITEM_HISTORY","DML Error Logging table for ""ITEM_HISTORY"""
"ERR$_LPN","DML Error Logging table for ""LPN"""
"ERR$_LPN_CATCH_WEIGHT","DML Error Logging table for ""LPN_CATCH_WEIGHT"""
