"   ","TABLE_NAME","CONSTRAINT_NAME","CONSTRAINT_TYPE","COLUMN_NAME","POSITION"
"2707","UI_ELEMENT_TYPE","UK_UI_ELEMENT_TYPE","U","ELEMENT_ID","1"
"2708","UI_MENU","UI_MENU_PK","P","MENU_ID","1"
"2709","UI_MENU_ITEM","UI_MENU_ITEM_PK","P","UI_MENU_ITEM_ID","1"
"2710","UI_MENU_ITEM_PERMISSION","UI_MEN_ITE_PERM_PK","P","UI_MENU_ITEM_PERMISSION_ID","1"
"2711","UI_MENU_SCREEN","UI_MENU_SCR_PK","P","UI_MENU_SCREEN_ID","1"
"2712","UI_ROLLUP_CELL","PK_UI_ROLLUP_CELL","P","ID","1"
"2713","UI_ROLLUP_CELL_RATING_XREF","PK_UI_ROLLUP_CELL_RATING_XREF","P","ID","1"
"2714","UI_ROLLUP_GROUP","PK_UI_ROLLUP_GROUP","P","ID","1"
"2715","UI_ROLLUP_GROUP_ROW_XREF","PK_UI_ROLLUP_GROUP_ROW_XREF","P","ID","1"
"2716","UI_ROLLUP_RATING","PK_UI_ROLLUP_RATING","P","ID","1"
"2717","UI_ROLLUP_ROW","PK_UI_ROLLUP_ROW","P","ID","1"
"2718","UI_ROLLUP_ROW_CELL_XREF","PK_UI_ROLLUP_ROW_CELL_XREF","P","ID","1"
"2719","UI_ROLLUP_SCREEN","PK_UI_ROLLUP_SCREEN","P","ID","1"
"2720","UI_ROLLUP_SCREEN_GROUP_XREF","PK_UI_ROLLUP_SCREEN_GROUP_XREF","P","ID","1"
"2721","UI_TYPE","UI_TYPE_PK","P","UI_TYPE","1"
"2722","UI_VALIDATION_MASK","UI_VALID_MASK_PK","P","VALIDATION_TYPE_ID","1"
"2723","UI_VIEWCOMPANYCTRL","UI_VIEWCOMPANY_PK","P","UI_VIEWCUSTOMCONTROL_ID","1"
"2724","UI_VIEWCUSTCONTROLMD","UI_VIEWCUSCON_PK","P","UI_VIEWCUSTOMCONTROL_ID","1"
"2725","UI_VIEWFIELDMETADATA","UI_VIEWFIELDMET_PK","P","VIEWFIELDMETADATA_ID","1"
"2726","UI_VIEWMENUMETADATA","UI_VIEWMENUMET_PK","P","VIEWMENUMETADATA_ID","1"
