???"TABLE_NAME","INDEX_NAME","UNIQUENESS","COLUMN_NAME","COLUMN_POSITION"
"ALLOC_INVN_DTL","ALOCINVNDTL_TSKGENBRCODE_IDX","NONUNIQUE","TASK_GENRTN_REF_CODE","2"
"ALLOC_INVN_DTL","PE_PULL_IDX","NONUNIQUE","PULL_LOCN_ID","1"
"ALLOC_INVN_DTL","PK_ALLOC_INVN_DTL","UNIQUE","ALLOC_INVN_DTL_ID","1"
"ALLOC_PARM","ALLOCPARM_CDMASTERID_IDX","NONUNIQUE","CD_MASTER_ID","1"
"ALLOC_PARM","ALLOCPARM_INVNWHSECDMASID_IDX","NONUNIQUE","INVN_NEED_TYPE","1"
"ALLOC_PARM","ALLOCPARM_INVNWHSECDMASID_IDX","NONUNIQUE","TASK_PRTY","2"
"ALLOC_PARM","ALLOCPARM_INVNWHSECDMASID_IDX","NONUNIQUE","WHSE","3"
"ALLOC_PARM","ALLOCPARM_INVNWHSECDMASID_IDX","NONUNIQUE","CD_MASTER_ID","4"
"ALLOC_PARM","PK_ALLOC_PARM","UNIQUE","ALLOC_PARM_ID","1"
"APPLICATION_CONFIGURATION","APP_CONFIG_PK","UNIQUE","KEY","1"
"APPLICATION_CONFIGURATION","APP_CONFIG_PK","UNIQUE","APPLY_TO_SERVER","2"
"APPOINTMENT_REPORT","APPOINTMENT_REPORT_PK","UNIQUE","APPOINTMENT_REPORT_ID","1"
"APPOINTMENT_TYPE","APPT_TYPE_PK","UNIQUE","APPOINTMENT_TYPE","1"
"APPT_OBJECT_FEASIBLE_APPT","APPT_OBJECT_FEASIBLE_APPT_PK","UNIQUE","APPT_OBJECT_PK_ID","1"
"APPT_OBJECT_INFEASIBLE_APPT","APPT_OBJECT_INFEASIBLE_APPT_PK","UNIQUE","APPT_OBJECT_PK_ID","1"
"APPT_OBJECT_PK","APPT_OBJECT_PK_PK","UNIQUE","APPT_OBJECT_PK_ID","1"
"APPT_OBJECT_SLOT_GROUP_SLOT","APPT_OBJECT_SLOT_GROUP_SLOT_PK","UNIQUE","APPT_OBJECT_PK_ID","1"
"APPT_SETUP_UPLOAD","APPT_SETUP_UPLOAD_PK","UNIQUE","APPT_SETUP_UPLOAD_ID","1"
"APPT_SETUP_UPLOAD","TM_APPT_SETUP_UPLOAD_IDX1","NONUNIQUE","UPLOAD_STATUS","1"
"APPT_SETUP_UPLOAD","TM_APPT_SETUP_UPLOAD_IDX2","NONUNIQUE","UPLOAD_TYPE","1"
"APPT_UPLOAD_STATUS","APPT_UPLOAD_STATUS_UX","UNIQUE","APPT_UPLOAD_STATUS","1"
"APPT_UPLOAD_TYPE","APPT_UPLOAD_TYPE_UX","UNIQUE","APPT_UPLOAD_TYPE","1"
"APP_SERVER_STATUS","APP_SERVER_STATUS_PK","UNIQUE","APP_INST_SHORT_NAME","1"
"AP_ALERT","APALRT_CIEOI_IDX","NONUNIQUE","COMPANY_ID","1"
"AP_ALERT","APALRT_CIEOI_IDX","NONUNIQUE","EXTERNAL_OBJECT_ID","2"
"AP_ALERT","AP_ALERT_OIOTASAI_IDX","NONUNIQUE","OBJECT_ID","1"
"AP_ALERT","AP_ALERT_OIOTASAI_IDX","NONUNIQUE","OBJECT_TYPE","2"
"AP_ALERT","AP_ALERT_OIOTASAI_IDX","NONUNIQUE","ALERT_STATUS","3"
"AP_ALERT","AP_ALERT_OIOTASAI_IDX","NONUNIQUE","ALERT_ID","4"
"AP_ALERT","AP_ALERT_PK","UNIQUE","ALERT_ID","1"
"AP_ALERT","AP_ALERT_PRD_IDX","NONUNIQUE","ALERT_ID","1"
"AP_ALERT","AP_ALERT_PRD_IDX","NONUNIQUE","COMPANY_ID","2"
"AP_ALERT","AP_ALERT_PRD_IDX","NONUNIQUE","OBJECT_TYPE","3"
"AP_ALERT","AP_ALERT_PRD_IDX","NONUNIQUE","ALERT_STATUS","4"
"AP_ALERT","AP_ALERT_PRD_IDX","NONUNIQUE","ALERT_DEF_ID","5"
"AP_ALERT","PE_AP_ALERT_IX3","NONUNIQUE","LAST_UPDATED_DTTM","1"
