???"FROM_TABLE","FROM_COLUMN","TO_TABLE","TO_COLUMN","CONSTRAINT_NAME"
"CL_MESSAGE_KEYS","MSG_ID","CL_MESSAGE","MSG_ID","CL_MESSAGE_KEYS_FK_1"
"CL_SERVER_CONFIG","MACHINE_ID","CL_MACHINE","MACHINE_ID","CL_SERVER_CONFIG_FK_1"
"CNSTR_DTL","CAT_ID","CATEGORY","CAT_ID","FK_CNSTR_DTL_TO_CATEGORY"
"CNSTR_DTL","CAT_CODE_ID","CAT_CODE","CAT_CODE_ID","FK_CNSTR_DTL_TO_CAT_CODE"
"CNSTR_DTL","CNSTR_ID","CONSTRAINTS","CNSTR_ID","FK_CNSTR_DTL_TO_CONSTRAINT"
"CNSTR_GRP","WHSE_CODE","WHPREFS","WHSE_CODE","FK_CNSTR_GRP_TO_WHPREFS"
"CNSTR_RACK_LEVEL","CNSTR_ID","CONSTRAINTS","CNSTR_ID","FK_CNSTRANT_TO_CNST_RACK_LVL"
"CNSTR_RACK_LEVEL","WHSE_CODE","WHPREFS","WHSE_CODE","FK_CNSTR_RACK_LEVEL_TO_WHPREFS"
"CNT_INVN_DTL","ITEM_ID","ITEM_CBO","ITEM_ID","FK_CNTINVNDTL_ITEMCBO"
"CNT_INVN_DTL","CNT_INVN_HDR_ID","CNT_INVN_HDR","CNT_INVN_HDR_ID","FK_CNTINVNDTL_CNTINVNHDR"
"CNT_INVN_HDR","LPN_ID","LPN","LPN_ID","FK_CNTINVNHDR_LPN"
"CNT_INVN_HDR","PHYS_INVN_HDR_ID","PHYS_INVN_HDR","PHYS_INVN_HDR_ID","FK_CNTINVNHDR_PHYSINVNHDR"
"CNT_INVN_SRL_NBR","CNT_INVN_DTL_ID","CNT_INVN_DTL","CNT_INVN_DTL_ID","FK_CISN_CID"
"COLOR_CODE_DTL","COLOR_CODE_ID","COLOR_CODE_HDR","COLOR_CODE_ID","FK_COLOR_CODE_DTL_COLOR_CODE_H"
"COMPANY_OPT_ENGINE","OPT_ENGINE_ID","OPT_ENGINE","OPT_ENGINE_ID","REFOPT_ENGINE1640"
"COMPANY_OPT_ENGINE","OPT_ENGINE_TYPE","OPT_ENGINE_TYPE","OPT_ENGINE_TYPE","REFOPT_ENGINE_TYPE1641"
"COMPANY_PARAMETER","PARAM_DEF_ID","PARAM_DEF","PARAM_DEF_ID","COMPANY_PARAMETER_FK1"
"COMPANY_PARAMETER","PARAM_GROUP_ID","PARAM_DEF","PARAM_GROUP_ID","COMPANY_PARAMETER_FK1"
"COMPOSITE_SERVICE_ARGS","CS_ID","COMPOSITE_SERVICE_REPOSITORY","CS_ID","COMPSRV_CSR_FK"
"CONFIG_TOOL_DEPENDENT_STEPS","CONFIG_TOOL_DTL_ID","CONFIG_TOOL_DTL","CONFIG_TOOL_DTL_ID","FK_CONFIGTOOLDEPSTEPS_DTL"
"CONFIG_TOOL_DEPENDENT_STEPS","CONFIG_DEPENDENT_STEP_ID","CONFIG_TOOL_DTL","CONFIG_TOOL_DTL_ID","FK_CONFIGTOOLDEPSTEPS_DTL2"
"CONFIG_TOOL_DTL","CONFIG_TOOL_HDR_ID","CONFIG_TOOL_HDR","CONFIG_TOOL_HDR_ID","FK_CONFIGTOOLDTL_HDR"
